0,1,2,3,4,5
,CONCEPTO,,,UMA,
"Con venta de cualquier clase de artículos, por día, por metro lineal en tianguis, por día",,,De 0.17 a 0.30,,
"Con venta de cualquier clase de artículos, por metro cuadrado, por día",,,De 0.17 a 0.30,,
"Con uso de vehículos de motor, vendedores de cualquier clase de artículo, por mes",,,2.80,,
"Con uso de casetas metálicas y puestos fijos, por mes",,,3.25,,
"Con puesto semifijo, de cualquier clase de artículo, por mes",,,3.25,,
"Uso temporal de la vía pública con stand de publicidad o información se pagará por metro
cuadrado, por día",,,2.00,,
"Uso temporal de la vía pública para venta de artículos, bienes y servicios de exhibición se pagará
por metro cuadrado, por día",,,1.50,,
"Cobro por el uso de piso en festividades, fiestas patronales y ferias para la venta de cualquier
clase de artículos, por metro lineal, por día",,,"De 2.00 a
12.00",,
"Cobro en festividades a vendedores ocasionales de cualquier clase de artículo, que no tenga
asignado un lugar fijo en dicha festividad, y que expendan sus productos caminando u ocupen
menos de un metro lineal de frente, pagarán diario",,,2.28,,
"Cobro de piso para los juegos mecánicos y puestos de feria, que se instalan en la vía pública con
motivo de las festividades o cualquier ocasión, por metro lineal o diametral por día",,,2.28,,
Permisos temporales o provisionales se pagará por día y por metro cuadrado,,,1.50,,
